track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
Say So,Doja Cat,88,Hot Pink,80,0.787,0.673,-4.583,0,11,0.159,0.264,3.35e-06,0.0904,0.779,110.962,4,237893
Blinding Lights,The Weeknd,93,After Hours,90,0.514,0.73,-5.934,1,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4,200040
Supalonely (feat. Gus Dapperton),BENEE,67,Hey u x,63,0.862,0.631,-4.746,1,7,0.0515,0.291,0.000209,0.123,0.841,128.978,4,223488
Savage,Megan Thee Stallion,82,Suga,70,0.843,0.741,-5.609,1,11,0.334,0.0252,0,0.096,0.68,168.983,4,155497
Moral of the Story,Ashe,68,Moral of the Story,76,0.572,0.406,-8.624,1,10,0.0427,0.587,4.48e-06,0.102,0.265,119.812,4,201084
Rain On Me (with Ariana Grande),Lady Gaga,84,Rain On Me (with Ariana Grande),74,0.672,0.855,-3.764,1,9,0.0397,0.021,0,0.323,0.646,123.056,4,182200
Babylon,Lady Gaga,84,Chromatica,64,0.698,0.799,-4.372,1,2,0.0342,0.0129,5.46e-06,0.215,0.351,115.957,4,161733
Replay,Lady Gaga,84,Chromatica,66,0.658,0.878,-3.875,1,1,0.123,0.00792,0,0.944,0.683,122.015,4,186653
My Oh My (feat. DaBaby),Camila Cabello,82,Romance,75,0.724,0.491,-6.024,1,8,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,4,170746
Physical,Dua Lipa,88,Future Nostalgia,75,0.647,0.844,-3.756,1,0,0.0457,0.0137,0.000658,0.102,0.746,146.967,4,193829
Glitter,BENEE,67,FIRE ON MARZZ,66,0.801,0.589,-5.157,1,7,0.0485,0.0863,0,0.162,0.58,116.934,4,180147
Put Your Records On,Ritt Momney,60,Put Your Records On,77,0.399,0.491,-10.778,0,6,0.0538,0.0563,0.00089,0.11,0.151,91.066,4,210463
Stuck with U (with Justin Bieber),Ariana Grande,87,Stuck with U,82,0.597,0.45,-6.658,1,8,0.0418,0.223,0,0.382,0.537,178.765,3,228482
Break My Heart,Dua Lipa,88,Future Nostalgia,78,0.73,0.729,-3.434,0,4,0.0884,0.167,1.39e-06,0.349,0.467,113.011,4,221820
Selfish,Madison Beer,71,Life Support,66,0.375,0.461,-6.202,1,9,0.0279,0.627,0,0.386,0.233,75.217,4,223270
LEMONS - Demo,Brye,48,LEMONS (Demo),57,0.501,0.168,-13.682,0,4,0.304,0.901,0,0.134,0.514,82.574,4,193208
The Less I Know The Better,Tame Impala,78,Currents,84,0.64,0.74,-4.083,1,4,0.0284,0.0115,0.00678,0.167,0.785,116.879,4,216320
Buttercup,Jack Stauber,62,Pop Food,72,0.705,0.373,-9.066,1,7,0.0384,0.723,0.81,0.289,0.551,120.046,4,208026
Dissolve,Absofacto,56,Thousand Peaces,68,0.688,0.582,-10.668,0,6,0.0542,0.23,0.000157,0.0663,0.872,85.486,4,224661
Sunday Best,Surfaces,71,Where the Light Is,77,0.878,0.525,-6.832,1,5,0.0578,0.183,0,0.0714,0.694,112.022,4,158571
Airplane Mode,Limbo,50,Holo,0,0.665,0.373,-10.631,1,7,0.158,0.852,0.118,0.108,0.07,119.905,4,164113
Chinese New Year,SALES,61,Chinese New Year,66,0.744,0.845,-7.422,0,4,0.253,0.759,0.232,0.1,0.749,75.221,4,160000
LMK,Lil Xxel,51,LMK,65,0.748,0.457,-7.56,1,6,0.0465,0.0292,0.000294,0.444,0.464,123.035,4,188293
Why Is Everything Chrome (Lean Swag Rock Wit It),King Critical,29,Why Is Everything Chrome (Lean Swag Rock Wit It),46,0.915,0.392,-11.548,1,7,0.475,0.112,0,0.0319,0.675,139.94,4,151018
Figure It Out,Blu DeTiger,51,Figure It Out,54,0.747,0.554,-6.154,0,8,0.289,0.493,0.000425,0.332,0.585,96.988,4,164318
They Call Me Tiago (Her Name Is Margo),Tiagz,47,They Call Me Tiago (Her Name Is Margo),57,0.878,0.578,-7.581,1,0,0.0722,0.196,0.433,0.0965,0.148,100.996,4,154455
My Heart Went Oops,Tiagz,47,My Heart Went Oops,51,0.96,0.412,-11.281,1,1,0.607,0.119,0,0.0903,0.49,121.027,4,128926
Muffins In The Freezer,Tiagz,47,Muffins In The Freezer,47,0.965,0.412,-8.696,1,0,0.434,0.0778,1.12e-06,0.0867,0.486,120.03,4,106016
Beggin',Madcon,61,Conquest,61,0.715,0.796,-4.889,0,4,0.0534,0.0284,0,0.0658,0.431,129.04,4,218707
Kolors,monte booker,47,Soulection White Label - Monte Booker,56,0.718,0.403,-11.064,0,2,0.205,0.263,1.56e-06,0.228,0.636,129.582,4,177856
