track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
Shake It,Metro Station,53,Metro Station,68,0.618,0.955,-3.836,1,4,0.0798,0.00221,3.09e-06,0.486,0.79,150.034,4,179947
Chinese New Year,SALES,61,SALES - EP,53,0.744,0.845,-7.422,0,4,0.253,0.759,0.232,0.1,0.749,75.221,4,160000
Baby I'm Yours,Breakbot,57,By Your Side,69,0.829,0.792,-3.755,0,2,0.0668,0.726,5.83e-06,0.122,0.758,118.05,4,215507
The Git Up,Blanco Brown,60,The Git Up,2,0.847,0.678,-8.635,1,9,0.109,0.0669,0,0.274,0.811,97.984,4,200594
Say Hey (I Love You),Michael Franti & Spearhead,58,All Rebel Rockers,0,0.738,0.983,-4.374,0,5,0.0855,0.038,5.93e-06,0.183,0.957,92.998,4,235760
Falling for U,Peachy!,57,Falling for U,1,0.516,0.358,-12.018,0,8,0.424,0.743,1.3e-06,0.0813,0.397,79.509,4,124000
Shooting Stars,Bag Raiders,53,Bag Raiders (Deluxe),0,0.649,0.716,-6.232,1,11,0.0445,0.0879,0.03,0.0824,0.503,124.968,4,235813
fast,Sueco,65,fast,0,0.877,0.503,-10.269,0,7,0.22,0.164,0.0132,0.102,0.529,100.069,4,144000
On A Roll,Ashley O,43,On A Roll,58,0.736,0.81,-6.354,1,5,0.0906,0.077,0,0.0523,0.387,125.011,4,154448
Good Girls Bad Guys,Falling In Reverse,70,The Drug In Me Is You,64,0.474,0.948,-2.592,1,3,0.122,0.0223,0,0.43,0.611,146.46,4,195373
Just Did a Bad Thing,Bill Wurtz,43,Just Did a Bad Thing,43,0.754,0.526,-12.96,1,1,0.0435,0.00261,0.466,0.113,0.716,117.051,4,167180
Wait a Minute!,WILLOW,76,ARDIPITHECUS,86,0.764,0.705,-5.279,0,3,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,4,196520
"Spooky, Scary Skeletons",Andrew Gold,49,Halloween Howls: Fun & Scary Music,50,0.806,0.447,-10.181,1,7,0.0461,0.27,3.7e-06,0.335,0.914,77.033,5,127627
"Livin' in the Sunlight, Lovin' in the Moon Light",Tiny Tim,41,God Bless Tiny Tim,51,0.603,0.276,-19.238,1,4,0.0871,0.911,0.00237,0.484,0.86,99.561,4,125933
Tell Me Something I Don't Know - Soundtrack,Selena Gomez,80,Another Cinderella Story (Original Motion Picture Soundtrack),56,0.611,0.936,-3.697,0,7,0.11,0.0309,0,0.12,0.697,144.901,4,201427
STUPID (feat. Yung Baby Tate),Ashnikko,69,"Hi, It's Me",70,0.772,0.637,-6.881,1,2,0.114,0.00459,0,0.0778,0.54,149.906,4,167317
Beef FloMix,Flo Milli,67,Beef FloMix,53,0.857,0.575,-8.36,1,7,0.221,0.239,0,0.293,0.901,116.993,4,147692
Prom Queen,Beach Bunny,70,Prom Queen,80,0.528,0.797,-7.487,1,4,0.0485,0.000391,0.011,0.14,0.751,143.785,4,136562
Don't Lose Ur Head,SIX,61,Six: The Musical (Studio Cast Recording),66,0.859,0.605,-7.635,0,7,0.357,0.251,0,0.132,0.722,82.91,4,245303
"Legs (From ""RuPaul's Drag Race 8"")",Lucian Piane,32,"Legs (From ""RuPaul's Drag Race 8"")",44,0.9,0.72,-5.486,0,5,0.232,0.00502,6.26e-06,0.543,0.749,122.994,4,106364
Woah (feat. D3Mstreet),KRYPTO9095,39,Woah (feat. D3Mstreet),56,0.888,0.522,-8.936,1,1,0.43,0.00739,0,0.0452,0.623,144.011,4,123373
Steppin',Supa Dupa Humble,38,Steppin',55,0.85,0.58,-4.502,1,1,0.104,0.000404,0.0821,0.0714,0.12,160.055,4,145253
Hungry Hippo,Tierra Whack,58,Whack World,57,0.893,0.61,-5.691,0,4,0.0488,0.0227,0.00744,0.102,0.778,136.64,4,60000
I'm Sorry,Swell,47,Theres Still Us,0,0.944,0.541,-9.61,0,6,0.166,0.0879,0.000119,0.033,0.724,134.942,4,157333
Vibin',Kesh Kesh,27,Vibin',41,0.686,0.805,-6.816,0,11,0.154,0.00478,1.09e-06,0.0887,0.289,130.981,4,154567
Fly Me To The Moon (In Other Words),Frank Sinatra,74,Sinatra/Basie: The Complete Reprise Studio Recordings,71,0.668,0.26,-14.256,1,7,0.0523,0.453,0,0.0621,0.368,119.416,4,147000
Yellow Hearts,Ant Saunders,52,Yellow Hearts,0,0.866,0.399,-10.938,1,7,0.0745,0.117,0,0.0689,0.713,129.047,4,223256
